ImageId,EncodedPixels
test_mask_1,9964 2 10206 4 10212 13 10455 28 10699 3 10704 29 10949 3 10954 29 11199 3 11204 29 11447 6 11454 30 11691 3 11696 42 11940 5 11946 43 12189 51 12433 57 12681 60 12931 59 13181 59 13426 1 13430 61 13674 67 13918 2 13923 68 13995 1 14158 83 14245 1 14402 1 14407 90 14651 97 14900 98 15150 98 15400 5 15406 92 15650 98 15894 3 15899 99 16128 4 16133 115 16370 3 16375 123 16619 130 16869 131 17119 130 17363 2 17370 129 17612 4 17619 131 17855 3 17861 139 18102 147 18347 153 18588 1 18596 154 18839 1 18845 155 19095 155 19339 1 19345 155 19588 162 19827 173 20066 183 20315 184 20564 185 20814 185 21064 185 21311 187 21557 191 21805 192 22049 89 22140 107 22299 73 22399 98 22549 68 22618 2 22652 92 22799 68 22904 87 23049 67 23157 83 23299 70 23407 82 23548 65 23660 80 23797 48 23915 76 24041 49 24167 74 24291 48 24421 70 24541 48 24673 68 24791 48 24925 59 25041 48 25176 55 25291 49 25426 54 25541 48 25676 52 25790 48 25930 47 26040 42 26182 43 26289 43 26438 30 26539 42 26691 25 26789 42 26946 17 27039 42 27197 12 27289 42 27447 12 27539 42 27697 12 27783 47 28033 41 28283 41 28533 41 28783 40 29033 40 29283 40 29533 40 29783 40 30032 41 30282 41 30532 41 30782 41 31032 41 31282 41 31532 41 31782 41 32032 41 32282 41 32532 37 32570 2 32782 37 32820 1 33032 37 33070 2 33282 41 33532 41 33782 41 34032 41 34282 41 34532 41 34782 41 35032 41 35282 41 35532 41 35780 44 36032 42 36282 42 36532 43 36782 43 37032 43 37282 43 37326 1 37532 47 37782 49 38032 57 38090 3 38282 65 38532 64 38782 62 39032 63 39282 64 39532 65 39782 68 40032 72 40282 74 40532 74 40782 73 41032 73 41282 74 41532 76 41783 79 42033 89 42159 4 42164 47 42283 94 42407 54 42534 93 42652 2 42656 55 42784 92 42907 53 43034 93 43153 58 43213 2 43283 95 43401 66 43534 102 43643 2 43647 72 43785 188 44039 185 44289 185 44539 185 44789 186 45039 186 45289 186 45539 187 45790 186 46040 187 46291 188 46540 189 46790 190 47040 190 47290 190 47540 190 47791 190 48042 190 48297 183 48547 183 48797 183 49047 183 49297 183 49548 182 49799 181 50050 180 50305 175 50556 174 50805 175 51056 174 51305 175 51556 174 51807 173 52058 172 52314 166 52565 165 52816 165 53066 165 53316 164 53566 164 53821 158 54074 153 54330 146 54581 145 54831 146 55081 149 55331 151 55581 152 55833 150 56094 124 56221 2 56352 115 56603 108 56853 113 57103 115 57221 4 57349 133 57603 116 57721 12 57855 113 57972 5 57979 2 58118 88 58377 3 58382 65 58448 1 58636 45 58683 5 58690 6 58886 14 58901 21 58926 3 58940 3 58944 1 59147 1
test_mask_2,13812 49 14058 55 14307 59 14556 60 14806 60 15056 60 15306 61 15555 64 15801 70 16045 78 16291 86 16541 87 16790 88 17040 88 17290 88 17540 88 17790 88 18035 91 18283 90 18533 90 18783 90 19033 90 19283 90 19533 89 19782 86 20032 75 20281 73 20531 72 20781 72 21029 69 21101 1 21279 69 21529 68 21777 68 22025 57 22086 2 22275 56 22525 56 22775 56 23025 56 23275 56 23525 56 23775 56 24024 50 24274 50 24524 50 24774 49 25024 49 25274 50 25524 50 25774 50 26024 49 26274 49 26524 49 26774 49 27024 49 27274 49 27524 49 27774 49 28024 49 28274 49 28524 49 28774 49 29024 49 29274 49 29524 49 29774 49 30024 49 30274 49 30524 49 30774 49 31024 49 31274 49 31524 49 31774 49 32024 49 32274 49 32524 49 32774 49 33024 49 33274 49 33524 49 33774 49 34024 49 34274 49 34525 47 34775 46 35025 47 35275 48 35524 49 35775 48 36025 48 36275 48 36525 48 36775 48 37025 48 37275 48 37525 48 37775 48 38032 42 38282 42 38532 43 38782 43 39032 43 39282 45 39532 48 39782 49 40033 55 40287 52 40539 51 40789 51 41040 50 41290 50 41540 51 41790 56 42046 57 42297 56 42548 55 42798 54 43048 52 43298 51 43549 49 43801 39 44058 30 44317 15
test_mask_3,16815 13 17064 15 17314 13 17556 24 17805 27 18048 39 18291 50 18541 53 18791 53 19041 53 19291 54 19540 57 19790 53 20033 58 20282 58 20532 59 20782 59 21032 58 21282 59 21532 58 21780 57 22025 56 22275 55 22525 55 22775 52 22828 2 23025 50 23076 1 23078 2 23275 55 23525 55 23775 49 24024 50 24274 49 24524 49 24773 50 25023 50 25273 50 25519 1 25521 52 25767 56 26017 56 26267 56 26517 56 26767 56 27017 56 27267 56 27517 56 27767 56 28017 56 28267 56 28517 55 28767 56 29017 56 29266 56 29516 56 29766 56 30016 56 30266 56 30516 56 30766 56 31016 56 31266 56 31516 56 31766 56 32016 56 32266 56 32516 56 32766 56 33016 56 33266 56 33516 56 33766 57 34016 57 34266 56 34516 56 34766 56 35016 57 35266 57 35516 57 35765 58 36016 57 36266 57 36516 57 36766 57 37016 57 37266 57 37516 57 37765 58 38016 58 38266 59 38516 59 38576 2 38766 59 39016 61 39266 62 39516 63 39766 65 40016 72 40266 73 40516 77 40766 74 41016 74 41266 75 41516 80 41766 82 41851 2 42017 94 42267 96 42517 97 42767 97 43017 97 43267 98 43517 100 43767 103 44017 106 44267 106 44517 106 44767 106 45017 105 45267 106 45517 106 45773 100 46024 101 46274 99 46524 99 46774 99 47024 99 47274 99 47524 99 47775 97 48026 97 48277 95 48527 1 48530 92 48777 1 48780 92 49031 91 49281 91 49532 90 49782 90 50033 88 50288 82 50539 80 50790 78 51040 79 51290 80 51541 79 51792 78 52048 68 52300 61 52555 52 52806 51 53056 50 53306 49 53558 46 53814 34 54073 1 54077 3
test_mask_4,15575 19 15821 31 16057 54 16305 62 16549 68 16799 69 17049 70 17300 67 17549 69 17798 70 18042 78 18291 79 18541 79 18790 80 19040 80 19291 80 19540 79 19790 76 20034 76 20283 72 20533 70 20783 66 20851 1 21033 64 21283 65 21351 2 21533 64 21782 57 22032 49 22282 43 22328 1 22532 42 22782 42 23032 42 23282 43 23531 44 23779 45 24026 48 24275 48 24525 48 24775 48 25025 48 25275 48 25525 48 25775 48 26025 48 26275 48 26525 48 26775 48 27025 48 27275 48 27525 48 27775 48 28024 49 28274 49 28525 48 28774 49 29024 49 29274 49 29524 49 29774 49 30024 49 30274 49 30524 49 30774 49 31024 49 31274 49 31524 49 31774 48 32024 48 32274 48 32525 47 32775 47 33025 47 33275 47 33525 48 33774 49 34025 47 34275 44 34320 1 34525 44 34775 43 35025 43 35070 1 35275 44 35320 2 35525 48 35775 48 36025 48 36275 48 36525 47 36775 47 37025 48 37275 48 37525 48 37775 48 38026 47 38280 44 38530 44 38780 44 39031 43 39282 42 39531 44 39782 49 40032 56 40282 62 40533 63 40783 63 41033 63 41283 64 41533 65 41783 73 42039 75 42290 75 42540 75 42790 75 43040 76 43290 75 43541 74 43791 75 44047 70 44298 68 44548 67 44798 67 45048 67 45299 66 45549 65 45805 58 46062 49 46315 41 46573 30 46823 31 47074 30 47323 29 47574 28 47832 5
test_mask_5,16056 33 16297 62 16543 66 16793 67 17044 66 17295 64 17542 71 17790 73 18036 78 18283 82 18533 82 18783 82 19033 82 19283 85 19533 82 19782 82 20026 81 20275 79 20525 77 20775 74 21025 73 21275 74 21351 2 21525 72 21774 66 22023 58 22268 63 22517 63 22767 63 23017 63 23267 64 23517 64 23767 63 24017 57 24267 57 24517 56 24766 57 25016 57 25266 58 25516 58 25766 58 26015 58 26265 58 26515 58 26763 60 27013 60 27261 62 27510 63 27760 63 28009 64 28259 64 28509 64 28759 64 29009 64 29259 64 29509 64 29759 64 30009 64 30259 64 30509 63 30759 63 31009 64 31259 64 31509 64 31759 64 32009 64 32259 63 32509 63 32759 62 33009 63 33259 64 33509 64 33759 64 34009 64 34259 64 34509 64 34759 64 35009 64 35259 64 35509 64 35759 64 36009 64 36259 64 36509 64 36759 64 37009 65 37259 65 37509 65 37759 65 38009 70 38259 72 38509 72 38759 72 39009 72 39259 72 39509 72 39759 73 40009 80 40259 87 40509 88 40759 87 41009 87 41259 88 41509 89 41759 97 42009 104 42260 105 42510 110 42760 109 43010 110 43259 112 43510 112 43760 116 44016 114 44266 114 44516 115 44766 115 45016 116 45266 120 45516 120 45766 120 46017 119 46267 119 46517 119 46767 120 47017 121 47267 126 47517 122 47640 3 47774 113 47891 1 48024 112 48275 111 48525 111 48775 111 49025 111 49275 111 49526 110 49781 104 50033 98 50284 95 50536 92 50788 90 51038 90 51289 89 51540 87 51791 84 52043 78 52299 69 52555 60 52805 60 53056 57 53306 57 53557 56 53813 44 54073 2 54076 19
test_mask_6,14597 1 14847 2 15097 1 15348 1 15580 29 15824 39 16065 53 16307 65 16556 66 16806 67 17056 67 17306 67 17556 66 17805 68 18048 75 18298 75 18548 75 18798 75 19047 76 19297 76 19545 77 19792 79 20040 73 20290 67 20540 65 20790 63 21040 59 21101 2 21290 58 21351 2 21540 57 21789 51 22034 48 22283 48 22533 48 22784 47 23034 46 23284 47 23534 47 23783 42 23828 2 24033 41 24282 41 24532 41 24782 41 25032 41 25282 41 25532 41 25782 41 26032 41 26282 41 26532 41 26782 41 27032 41 27282 41 27532 41 27782 41 28032 41 28282 41 28532 40 28782 40 29032 40 29282 41 29532 41 29782 41 30032 41 30282 40 30532 40 30782 40 31032 40 31282 40 31532 40 31782 39 32032 39 32282 39 32532 39 32782 37 32820 1 33032 37 33070 1 33282 39 33532 40 33782 40 34032 40 34282 39 34532 37 34782 37 35032 37 35282 40 35532 41 35782 41 36032 41 36282 41 36532 41 36782 41 37033 40 37283 40 37532 41 37782 41 38033 40 38283 41 38534 40 38784 40 39034 40 39284 40 39534 41 39784 46 40039 48 40290 49 40540 53 40790 52 41040 56 41290 56 41540 57 41790 65 42042 72 42293 75 42547 73 42797 73 43047 73 43297 74 43547 74 43798 75 44049 78 44299 79 44551 77 44801 77 45051 77 45301 77 45552 76 45806 72 46059 69 46313 64 46564 61 46814 61 47064 62 47314 62 47564 62 47816 60 48070 53 48326 45 48582 32 48834 29 49087 5 49094 20 49339 2 49345 16 49595 13 49847 9
test_mask_7,6106 28 6355 40 6605 41 6855 42 7104 44 7355 43 7598 50 7844 61 8084 77 8332 88 8581 94 8831 95 9081 96 9331 96 9580 97 9816 113 10063 117 10311 120 10559 124 10808 125 11058 126 11308 127 11556 130 11800 139 12048 143 12297 145 12546 148 12797 147 13047 147 13295 149 13542 153 13790 155 14040 156 14287 160 14537 160 14789 158 15037 160 15287 160 15536 161 15785 162 16033 165 16282 166 16532 166 16782 166 17032 166 17282 166 17531 168 17779 170 18026 171 18275 170 18525 168 18775 168 19025 168 19275 168 19525 168 19775 101 19898 44 20024 88 20158 32 20274 83 20415 20 20524 81 20670 10 20774 81 21024 81 21273 82 21523 81 21768 2 21771 76 22017 72 22267 66 22517 65 22767 65 23017 65 23267 65 23517 65 23767 64 24017 64 24267 57 24517 57 24767 57 25017 57 25267 57 25516 58 25766 58 26016 58 26266 57 26516 57 26766 57 27016 57 27266 57 27516 57 27766 57 28016 57 28266 57 28516 53 28570 1 28766 53 29016 52 29266 50 29516 50 29766 51 29820 3 30016 51 30068 1 30070 3 30266 50 30516 50 30766 51 31016 50 31266 50 31516 50 31766 56 32016 56 32266 53 32320 1 32517 52 32767 52 33017 50 33267 49 33517 49 33767 56 34017 56 34267 55 34517 55 34767 54 35017 55 35267 56 35517 56 35767 56 36017 56 36267 57 36517 57 36767 57 37017 57 37267 57 37517 57 37767 57 38017 64 38272 59 38523 59 38773 59 39024 58 39274 58 39524 58 39774 61 40024 72 40274 80 40524 80 40774 80 41025 81 41275 81 41525 85 41655 23 41775 96 41897 34 42026 157 42280 153 42531 152 42781 152 43032 151 43281 152 43532 151 43782 151 44032 151 44283 150 44533 150 44783 150 45033 150 45283 150 45533 149 45789 143 46040 139 46290 138 46541 136 46791 135 47041 136 47291 136 47541 135 47795 130 48048 121 48299 119 48554 112 48805 111 49055 112 49305 111 49555 110 49806 109 50060 101 50316 89 50571 82 50822 81 51072 81 51322 81 51572 79 51825 75 52082 62 52343 44 52598 36 52849 34 53100 1 53102 25 53355 21 53608 2 53612 12 53867 1
test_mask_8,11805 17 12049 38 12296 43 12542 49 12792 52 13042 53 13292 53 13540 62 13784 77 14033 79 14282 81 14532 81 14782 82 15032 82 15282 82 15532 83 15779 88 16025 95 16275 96 16524 98 16774 98 17024 98 17274 98 17524 97 17774 98 18017 104 18267 102 18517 98 18617 1 18767 98 19017 98 19267 101 19517 98 19766 96 20016 87 20266 80 20516 75 20766 74 21015 75 21264 75 21513 76 21761 1 21763 70 22010 70 22259 66 22509 65 22759 65 23009 65 23259 66 23509 66 23759 65 24009 65 24259 64 24509 64 24759 64 25009 64 25259 64 25508 65 25758 65 26008 65 26258 65 26508 65 26758 65 27007 66 27257 66 27507 66 27755 68 28003 70 28253 1 28256 67 28506 67 28753 70 29003 70 29253 1 29255 68 29503 70 29752 71 30002 71 30252 71 30502 71 30752 71 31002 71 31252 71 31502 71 31752 71 32002 70 32252 71 32502 71 32753 70 33003 70 33253 70 33503 70 33753 70 34003 69 34253 68 34505 65 34755 65 35006 66 35257 65 35507 66 35757 66 36008 65 36258 65 36508 64 36759 63 37009 63 37259 64 37508 65 37759 64 38009 64 38259 64 38509 64 38759 64 39009 65 39259 65 39509 65 39759 68 40009 78 40260 79 40511 79 40763 77 41014 76 41261 80 41512 85 41765 84 42016 96 42267 97 42517 97 42767 97 43017 98 43267 98 43517 98 43768 100 44024 96 44274 96 44524 95 44774 96 45025 94 45275 94 45525 91 45775 90 46032 83 46282 82 46532 82 46782 82 47032 82 47282 82 47532 81 47783 80 48037 75 48290 67 48542 64 48796 60 49047 59 49297 58 49548 56 49799 50 50055 43 50320 5 50327 5
test_mask_9,9847 42 10089 57 10336 62 10584 64 10833 66 11083 66 11333 66 11580 73 11823 99 12070 108 12316 114 12565 118 12816 118 13066 118 13316 119 13564 124 13811 130 14057 136 14306 139 14556 140 14806 141 15056 141 15306 141 15556 141 15805 144 16050 150 16298 153 16548 153 16798 153 17048 152 17298 152 17548 153 17798 153 18047 153 18294 1 18296 154 18544 156 18796 153 19044 155 19294 155 19543 156 19791 90 19885 63 20040 74 20157 40 20290 72 20413 34 20540 71 20666 30 20790 70 20917 29 21040 67 21108 3 21168 27 21290 72 21416 29 21540 66 21666 30 21790 63 21925 21 22039 51 22289 50 22539 50 22789 49 23039 49 23289 50 23539 49 23786 46 24034 47 24284 46 24534 41 24576 4 24784 41 24828 2 25034 40 25284 40 25534 41 25576 1 25578 2 25783 42 26033 41 26283 41 26533 40 26783 40 27033 40 27283 40 27533 40 27783 40 28033 40 28283 40 28533 40 28783 40 29033 36 29070 1 29072 1 29283 40 29533 40 29783 40 30033 40 30283 34 30318 1 30320 2 30533 33 30783 34 31033 34 31283 33 31320 1 31533 34 31570 2 31783 36 31820 2 32033 39 32283 35 32320 1 32533 34 32783 34 33033 34 33283 34 33320 1 33533 39 33783 40 34033 40 34283 39 34533 39 34783 39 35033 40 35283 40 35533 40 35783 40 36034 39 36289 34 36539 34 36789 34 37039 34 37289 34 37539 35 37789 35 38040 40 38290 41 38540 41 38790 41 39040 41 39290 41 39540 41 39790 43 40042 54 40293 58 40352 2 40547 57 40795 56 41044 60 41293 62 41544 2 41547 60 41798 68 42048 89 42140 2 42144 34 42299 129 42549 128 42799 128 43049 128 43299 128 43549 128 43801 2 43805 123 44056 122 44307 121 44557 121 44807 121 45057 121 45307 120 45557 119 45809 113 46065 104 46319 99 46571 95 46822 94 47072 95 47322 95 47572 93 47823 90 48073 88 48330 78 48584 71 48835 70 49086 69 49335 70 49584 70 49837 66 50094 58 50362 2 50366 29 50623 20 50876 17 51128 15 51376 12 51626 11
test_mask_10,16065 33 16306 56 16556 58 16806 58 17056 58 17306 58 17554 60 17801 64 18048 67 18294 73 18542 77 18792 76 19042 76 19292 76 19541 76 19791 74 20040 71 20289 67 20539 65 20789 64 21038 61 21101 2 21287 62 21350 4 21535 62 21783 57 22033 48 22282 48 22532 43 22578 1 22782 43 22828 1 23032 42 23282 43 23328 2 23532 43 23578 2 23782 42 24031 43 24281 42 24531 42 24781 42 25030 43 25280 43 25529 44 25777 46 26025 48 26275 48 26525 48 26775 48 27025 48 27275 48 27525 48 27775 48 28025 48 28275 48 28525 48 28775 48 29025 48 29275 48 29525 48 29775 48 30025 48 30275 48 30525 48 30775 48 31025 48 31275 48 31525 48 31775 48 32025 47 32275 47 32525 47 32775 47 33025 48 33275 48 33525 48 33775 48 34025 47 34275 47 34525 45 34775 44 35025 47 35275 48 35525 48 35775 48 36025 48 36276 47 36526 47 36776 47 37026 47 37276 47 37525 48 37775 48 38031 42 38282 42 38532 42 38781 43 39032 42 39282 42 39532 43 39576 1 39578 1 39782 49 40032 56 40283 62 40533 63 40783 63 41033 63 41283 64 41533 65 41783 73 42039 75 42290 75 42540 76 42790 76 43040 76 43290 76 43541 75 43791 77 44047 73 44298 72 44548 70 44798 69 45048 69 45298 69 45549 67 45805 60 46061 53 46314 48 46566 41 46816 41 47066 42 47316 42 47567 40 47823 31 47855 1 48081 17
